level,mode,channel,snr_db,trials,frame_errors,fer,fer_lo,fer_hi,ber,goodput_bps
1,BPSK 1/4,awgn,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,awgn,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,awgn,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,awgn,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,awgn,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,awgn,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
1,BPSK 1/4,awgn,12.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
1,BPSK 1/4,awgn,15.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
1,BPSK 1/4,awgn,18.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
1,BPSK 1/4,awgn,21.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
1,BPSK 1/4,awgn,24.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
1,BPSK 1/4,awgn,27.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
1,BPSK 1/4,awgn,30.0,400,0,0.000000,0.000000,0.009512,0.00000000,351.65
2,BPSK 1/2,awgn,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,awgn,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,awgn,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,awgn,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,awgn,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,awgn,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
2,BPSK 1/2,awgn,12.0,400,0,0.000000,0.000000,0.009512,0.00000000,709.16
2,BPSK 1/2,awgn,15.0,400,0,0.000000,0.000000,0.009512,0.00000000,709.16
2,BPSK 1/2,awgn,18.0,400,0,0.000000,0.000000,0.009512,0.00000000,709.16
2,BPSK 1/2,awgn,21.0,400,0,0.000000,0.000000,0.009512,0.00000000,709.16
2,BPSK 1/2,awgn,24.0,400,0,0.000000,0.000000,0.009512,0.00000000,709.16
2,BPSK 1/2,awgn,27.0,400,0,0.000000,0.000000,0.009512,0.00000000,709.16
2,BPSK 1/2,awgn,30.0,400,0,0.000000,0.000000,0.009512,0.00000000,709.16
3,QPSK 1/2,awgn,-6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,-3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,0.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,3.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,6.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,9.0,400,400,1.000000,0.990488,1.000000,0.00000000,0.00
3,QPSK 1/2,awgn,12.0,400,0,0.000000,0.000000,0.009512,0.00000000,1229.21
3,QPSK 1/2,awgn,15.0,400,0,0.000000,0.000000,0.009512,0.00000000,1229.21
3,QPSK 1/2,awgn,18.0,400,0,0.000000,0.000000,0.009512,0.00000000,1229.21
3,QPSK 1/2,awgn,21.0,400,0,0.000000,0.000000,0.009512,0.00000000,1229.21
